PriceCategory,Prefecture,Municipality,DistrictName,TradePrice,Area,BuildingYear,Period,UnitPrice,Age,Latitude,Longitude
成約価格情報,福岡県,北九州市小倉北区,熊本,14000000,95.0,1991,2021,486315.78947368416,30,33.867595,130.89301675000002
成約価格情報,福岡県,北九州市小倉北区,熊本,11000000,85.0,1997,2021,427058.82352941175,24,33.867595,130.89301675000002
成約価格情報,福岡県,北九州市小倉北区,古船場町,10000000,60.0,1983,2021,549999.9999999999,38,33.878897,130.882776
成約価格情報,福岡県,北九州市小倉北区,弁天町,19000000,80.0,2007,2021,783750.0,14,33.870752,130.862123
成約価格情報,福岡県,北九州市小倉北区,弁天町,30000000,80.0,2019,2021,1237500.0,2,33.870752,130.862123
成約価格情報,福岡県,北九州市小倉北区,都,8000000,65.0,1995,2021,406153.8461538461,26,33.877916,130.84752500000002
成約価格情報,福岡県,北九州市小倉北区,都,7900000,60.0,1995,2021,434499.99999999994,26,33.877916,130.84752500000002
成約価格情報,福岡県,北九州市小倉北区,吉野町,2000000,45.0,1975,2021,146666.66666666666,46,33.873753,130.876339
成約価格情報,福岡県,北九州市小倉北区,室町,37000000,75.0,2011,2021,1627999.9999999998,10,33.88689933333333,130.87581233333336
成約価格情報,福岡県,北九州市小倉北区,室町,37000000,80.0,2011,2021,1526250.0,10,33.88689933333333,130.87581233333336
成約価格情報,福岡県,北九州市小倉北区,三萩野,18000000,90.0,2001,2021,660000.0,20,33.871065666666674,130.88474599999998
成約価格情報,福岡県,北九州市小倉北区,三萩野,40000000,145.0,2011,2021,910344.8275862067,10,33.871065666666674,130.88474599999998
成約価格情報,福岡県,北九州市小倉北区,日明,8000000,60.0,1982,2021,440000.0,39,33.892189200000004,130.8595624
成約価格情報,福岡県,北九州市小倉北区,日明,7000000,60.0,1991,2021,385000.0,30,33.892189200000004,130.8595624
成約価格情報,福岡県,北九州市小倉北区,黒原,1800000,75.0,1982,2021,79200.0,39,33.861973,130.89870233333332
成約価格情報,福岡県,北九州市小倉北区,黒原,18000000,80.0,1997,2021,742500.0,24,33.861973,130.89870233333332
